"Location","Species","Pres","Freq","Freq1","SDFrq1","Rank","Rank1"
"A1","v",1,1,1,0,1,0.063
"A1","y",1,1,1,0,2,0.127
"A1","i",1,0.9939,0.9997,0.0035,3,0.19
"A1","x",1,0.7181,0.8717,0.1683,4,0.253
"A1","w",1,0.7131,0.868,0.1712,5,0.317
"A1","j",1,0.6924,0.8522,0.1831,6,0.38
"A1","r",1,0.6909,0.851,0.1839,7,0.443
"A1","n",1,0.6863,0.8474,0.1865,8,0.507
"A1","e",1,0.6479,0.816,0.2073,9,0.57
"A1","u",0,0.5921,0.7664,0.2349,10,0.633
"A1","p",0,0.5887,0.7632,0.2365,11,0.696
"A1","o",0,0.5858,0.7605,0.2378,12,0.76
"A1","k",1,0.4927,0.6673,0.2752,13,0.823
"A1","d",1,0.4376,0.6067,0.2919,14,0.886
"A1","q",0,0.3347,0.4836,0.3092,15,0.95
"A1","l",0,0.314,0.4572,0.3101,16,1.013
"A1","s",0,0.314,0.4572,0.3101,17,1.076
"A1","m",0,0.3102,0.4524,0.3101,18,1.14
"A1","z",0,0.309,0.4509,0.3102,19,1.203
"A1","g",0,0.3064,0.4474,0.3102,20,1.266
"A1","c",0,0.2989,0.4378,0.3101,21,1.33
"A1","t",0,0.2793,0.4121,0.3093,22,1.393
"A1","f",0,0.256,0.3809,0.307,23,1.456
"A1","b",0,0.0369,0.0591,0.1562,24,1.52
"A1","h",0,0.0257,0.0413,0.1321,25,1.583
"A1","a",0,0.0234,0.0376,0.1264,26,1.646
"A10","z",1,0.9999,0.9998,0.0042,1,0.063
"A10","t",1,0.994,0.9924,0.0273,2,0.126
"A10","y",1,0.994,0.9924,0.0273,3,0.188
"A10","q",1,0.9875,0.9848,0.0405,4,0.251
"A10","r",1,0.9817,0.978,0.0503,5,0.314
"A10","i",1,0.9806,0.9768,0.0519,6,0.377
"A10","s",1,0.7461,0.7297,0.2391,7,0.439
"A10","u",1,0.7451,0.7286,0.2393,8,0.502
"A10","e",1,0.7395,0.723,0.2406,9,0.565
"A10","m",1,0.7338,0.7172,0.242,10,0.628
"A10","f",1,0.7328,0.7162,0.2422,11,0.69
"A10","w",1,0.7245,0.7078,0.2441,12,0.753
"A10","v",0,0.6347,0.6175,0.2587,13,0.816
"A10","l",0,0.6346,0.6173,0.2588,14,0.879
"A10","x",0,0.6346,0.6173,0.2588,15,0.942
"A10","n",0,0.6072,0.5901,0.2614,16,1.004
"A10","o",0,0.5867,0.5696,0.2628,17,1.067
"A10","a",0,0.546,0.5293,0.2644,18,1.13
"A10","p",1,0.4358,0.4208,0.2604,19,1.193
"A10","h",0,0.3866,0.3727,0.2547,20,1.255
"A10","d",0,0.34,0.3273,0.2469,21,1.318
"A10","j",0,0.3387,0.3261,0.2466,22,1.381
"A10","k",0,0.3324,0.32,0.2454,23,1.444
"A10","g",0,0.3265,0.3142,0.2441,24,1.506
"A10","c",0,0.0431,0.0411,0.1039,25,1.569
"A10","b",0,0.0274,0.0261,0.0834,26,1.632
"A100","j",1,1,0.9559,0.0962,1,0.079
"A100","m",1,1,0.9559,0.0962,2,0.158
"A100","w",1,1,0.9559,0.0962,3,0.237
"A100","x",1,1,0.9559,0.0962,4,0.316
"A100","y",1,1,0.9559,0.0962,5,0.395
"A100","z",1,1,0.9559,0.0962,6,0.475
"A100","q",1,0.9922,0.7323,0.244,7,0.554
"A100","v",1,0.989,0.706,0.257,8,0.633
"A100","p",1,0.9888,0.7045,0.2578,9,0.712
"A100","u",1,0.9876,0.6961,0.2619,10,0.791
"A100","n",1,0.9876,0.6956,0.2621,11,0.87
"A100","d",1,0.9831,0.6691,0.2748,12,0.949
"A100","l",1,0.9356,0.5246,0.3401,13,1.028
"A100","b",1,0.9219,0.4992,0.3511,14,1.107
"A100","o",1,0.7663,0.3258,0.4228,15,1.186
"A100","f",1,0.757,0.3186,0.4256,16,1.265
"A100","t",1,0.7206,0.2924,0.4359,17,1.344
"A100","a",1,0.688,0.2709,0.4441,18,1.424
"A100","s",0,0.3197,0.0992,0.1278,19,1.503
"A100","k",0,0.3119,0.0964,0.1257,20,1.582
"A100","r",0,0.2996,0.0921,0.1223,21,1.661
"A100","i",0,0.254,0.0764,0.1097,22,1.74
"A100","g",0,0.2508,0.0753,0.1088,23,1.819
"A100","h",0,0.0643,0.0179,0.0507,24,1.898
"A100","c",0,0.0548,0.0152,0.0466,25,1.977
"A100","e",0,0.0216,0.0059,0.0289,26,2.056
"A11","r",1,0.9994,0.9991,0.0095,1,0.065
"A11","v",1,0.9939,0.9918,0.031,2,0.13
"A11","m",1,0.9895,0.9862,0.0414,3,0.195
"A11","s",1,0.9752,0.9691,0.0662,4,0.261
"A11","j",1,0.8439,0.8258,0.1964,5,0.326
"A11","o",1,0.8174,0.7982,0.2164,6,0.391
"A11","u",1,0.8174,0.7982,0.2164,7,0.456
"A11","x",1,0.8169,0.7976,0.2168,8,0.521
"A11","y",1,0.8169,0.7976,0.2168,9,0.586
"A11","z",1,0.7926,0.7725,0.2342,10,0.651
"A11","p",1,0.7892,0.7689,0.2366,11,0.716
"A11","l",1,0.7859,0.7656,0.2389,12,0.782
"A11","k",1,0.6868,0.6646,0.2791,13,0.847
"A11","b",1,0.683,0.6607,0.2797,14,0.912
"A11","f",1,0.6598,0.6374,0.2832,15,0.977
"A11","a",1,0.6438,0.6215,0.2852,16,1.042
"A11","q",0,0.4647,0.4446,0.2885,17,1.107
"A11","t",0,0.4338,0.4145,0.2856,18,1.172
"A11","d",0,0.4252,0.4061,0.2846,19,1.238
"A11","w",0,0.2821,0.268,0.2554,20,1.303
"A11","h",0,0.2725,0.2587,0.2524,21,1.368
"A11","i",0,0.2674,0.2539,0.2508,22,1.433
"A11","g",0,0.1685,0.1594,0.2104,23,1.498
"A11","n",0,0.1443,0.1364,0.1972,24,1.563
"A11","c",0,0.1367,0.1292,0.1927,25,1.628
"A11","e",0,0.0353,0.0333,0.1028,26,1.693
"A12","u",1,1,1,0.0015,1,0.069
"A12","o",1,0.9945,0.9908,0.0295,2,0.137
"A12","r",1,0.9945,0.9908,0.0295,3,0.206
"A12","w",1,0.9945,0.9908,0.0295,4,0.274
"A12","y",1,0.9945,0.9908,0.0295,5,0.343
"A12","k",1,0.9459,0.9277,0.101,6,0.412
"A12","q",1,0.9408,0.9216,0.1064,7,0.48
"A12","x",1,0.9408,0.9216,0.1064,8,0.549
"A12","f",1,0.7731,0.7369,0.2282,9,0.617
"A12","z",0,0.6537,0.6151,0.2449,10,0.686
"A12","j",0,0.6533,0.6147,0.245,11,0.755
"A12","m",0,0.6055,0.5672,0.2478,12,0.823
"A12","i",0,0.5515,0.5142,0.2484,13,0.892
"A12","s",0,0.4876,0.4523,0.246,14,0.96
"A12","n",0,0.4821,0.447,0.2456,15,1.029
"A12","t",0,0.4821,0.447,0.2456,16,1.098
"A12","e",1,0.4451,0.4116,0.2424,17,1.166
"A12","p",1,0.402,0.3706,0.2373,18,1.235
"A12","d",0,0.3782,0.348,0.2337,19,1.303
"A12","v",0,0.3351,0.3075,0.2258,20,1.372
"A12","g",0,0.3351,0.3075,0.2258,21,1.441
"A12","c",0,0.3292,0.3019,0.2246,22,1.509
"A12","h",0,0.3245,0.2976,0.2236,23,1.578
"A12","l",0,0.1043,0.0944,0.1417,24,1.646
"A12","a",0,4e-04,4e-04,0.0096,25,1.715
"A13","v",1,0.9997,1,1e-04,1,0.061
"A13","s",1,0.987,0.9996,0.0051,2,0.122
"A13","m",1,0.9042,0.9852,0.046,3,0.183
"A13","t",1,0.8425,0.9638,0.0825,4,0.244
"A13","j",1,0.8356,0.9609,0.0868,5,0.305
"A13","d",1,0.8288,0.9579,0.0911,6,0.366
"A13","r",1,0.7593,0.9224,0.137,7,0.427
"A13","q",1,0.5725,0.7825,0.2561,8,0.488
"A13","k",0,0.5176,0.7298,0.2855,9,0.549
"A13","p",0,0.5054,0.7175,0.2915,10,0.61
"A13","u",0,0.5054,0.7175,0.2915,11,0.671
"A13","w",0,0.374,0.5687,0.3417,12,0.732
"A13","z",0,0.374,0.5687,0.3417,13,0.793
"A13","x",0,0.3737,0.5683,0.3418,14,0.853
"A13","n",0,0.3733,0.5678,0.3419,15,0.914
"A13","y",0,0.3672,0.5602,0.3434,16,0.975
"A13","h",0,0.3669,0.5599,0.3435,17,1.036
"A13","i",0,0.361,0.5524,0.3449,18,1.097
"A13","o",0,0.3603,0.5515,0.3451,19,1.158
"A13","e",0,0.297,0.4687,0.3545,20,1.219
"A13","b",0,0.283,0.4497,0.3551,21,1.28
