"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","Z_VAL","SIG_95"
"S1","a",0.0631999999999995,-124.954399999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.82233237204487,FALSE
"S2","b",-0.000100000000000003,1.03745000000001,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.00310086836473021,FALSE
"S3","c",0.0121999999999999,-23.3858999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.400180719012684,FALSE
"S4","d",0.0530999999999996,-104.585949999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.59275712305669,FALSE
"S5","e",0.00419999999999997,-7.54589999999995,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.155871252620328,FALSE
"S6","f",0.0456999999999996,-89.9286499999993,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.60985366381592,FALSE
"S7","g",0.00599999999999996,-11.1089999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.253977497179657,FALSE
"S8","h",0.00419999999999997,-7.41689999999995,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.159213171149316,FALSE
"S9","i",0.0352999999999997,-69.3298499999995,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.44553208230485,FALSE
"S10","j",-0.0398999999999997,80.3545499999993,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-1.60840031590727,FALSE
"S11","k",0.0038,-6.60209999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.159870031109549,FALSE
"S12","l",-0.00449999999999994,9.95724999999987,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.170137493043031,FALSE
"S13","m",0.00759999999999996,-14.0111999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.281300180394026,FALSE
"S14","n",0.0297999999999998,-58.3350999999995,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.26260985501947,FALSE
"S15","o",-0.00309999999999996,7.07794999999992,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.138297799049776,FALSE
"S16","p",0.0137999999999999,-26.4840999999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.56617320283355,FALSE
"S17","q",0.00190000000000002,-2.76755000000004,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.0771809504491918,FALSE
"S18","r",-0.0165999999999998,34.0746999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.659910665695114,FALSE
"S19","s",0.0459999999999997,-90.3659999999994,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.67007932867901,FALSE
"S20","t",-0.00909999999999991,19.2459499999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.323933682882605,FALSE
"S21","u",-0.00999999999999987,21.1649999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.33493743115859,FALSE
"S22","v",0.0338999999999998,-66.1155499999996,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.06388843754706,FALSE
"S23","w",0.0466999999999997,-91.6811499999993,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.57801791992359,FALSE
"S24","x",0.00609999999999998,-10.92745,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.215398488221667,FALSE
"S25","y",-0.00589999999999994,12.8195499999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.230461716973861,FALSE
"S26","z",-0.00149999999999998,4.19774999999996,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.0535577676178545,FALSE
