"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Species 1",1984,4.653,3.858,60,60,59.9,239,0
"Species 1",2012,4.653,3.858,60,60,59.9,239,0
"Species 18",1984,4.653,3.858,60,60,59.9,239,0
"Species 18",2012,4.653,3.858,60,60,59.9,239,0
"Species 19",1984,4.653,3.858,60,60,59.9,239,0
"Species 19",2012,4.653,3.858,60,60,59.9,239,0
"Species 2",1984,4.653,3.858,60,60,59.9,239,0
"Species 2",2012,4.653,3.858,60,60,59.9,239,0
"Species 20",1984,4.653,3.858,60,60,59.9,239,0
"Species 20",2012,4.653,3.858,60,60,59.9,239,0
"Species 3",1984,4.653,3.858,60,60,59.9,239,0
"Species 3",2012,3.038,1.714,59,59,59,239,0
"Species 4",1984,4.653,3.858,60,60,59.9,239,0
"Species 4",2012,4.653,3.858,60,60,59.9,239,0
"Species 5",1984,4.653,3.858,60,60,59.9,239,0
"Species 5",2012,3.038,1.714,59,59,59,239,0
"Species 6",1984,4.653,3.858,60,60,59.9,239,0
"Species 6",2012,4.653,3.858,60,60,59.9,239,0
"Species 7",1984,4.653,3.858,60,60,59.9,239,0
"Species 7",2012,4.653,3.858,60,60,59.9,239,0
"Species 8",1984,4.653,3.858,60,60,59.9,239,0
"Species 8",2012,4.653,3.858,60,60,59.9,239,0
"Species 10",1984,4.653,3.858,60,60,59.9,239,0
"Species 10",2012,4.653,3.858,60,60,59.9,239,0
"Species 9",1984,4.653,3.858,60,60,59.9,239,0
"Species 9",2012,4.653,3.858,60,60,59.9,239,0
"Species 11",1984,4.653,3.858,60,60,59.9,239,0
"Species 11",2012,4.653,3.858,60,60,59.9,239,0
"Species 12",1984,4.653,3.858,60,60,59.9,239,0
"Species 12",2012,4.653,3.858,60,60,59.9,239,0
"Species 13",1984,4.653,3.858,60,60,59.9,239,0
"Species 13",2012,4.653,3.858,60,60,59.9,239,0
"Species 14",1984,4.653,3.858,60,60,59.9,239,0
"Species 14",2012,3.038,1.714,59,59,59,239,0
"Species 15",1984,4.653,3.858,60,60,59.9,239,0
"Species 15",2012,4.653,3.858,60,60,59.9,239,0
"Species 16",1984,4.653,3.858,60,60,59.9,239,0
"Species 16",2012,4.653,3.858,60,60,59.9,239,0
"Species 17",1984,4.653,3.858,60,60,59.9,239,0
"Species 17",2012,4.653,3.858,60,60,59.9,239,0
