Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S1        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S1        ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S10       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S10       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S11       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S11       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S12       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S12       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S13       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S13       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S14       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S14       ,2012      ,   3.038,  1.714,     59,   59.0,   59.0,    239,      0
S15       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S15       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S16       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S16       ,2012      ,   3.038,  1.714,     59,   59.0,   59.0,    239,      0
S17       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S17       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S18       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S18       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S19       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S19       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S2        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S2        ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S20       ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S20       ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S3        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S3        ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S4        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S4        ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S5        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S5        ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S6        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S6        ,2012      ,   3.038,  1.714,     59,   59.0,   59.0,    239,      0
S7        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S7        ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S8        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S8        ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S9        ,1984      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
S9        ,2012      ,   4.653,  3.858,     60,   60.0,   59.9,    239,      0
