Location,Species,Pres,Freq__,Freq_1,SD_Frq1,Rank,Rank_1
SP90      ,S1        ,   0,  0.0004,  0.7399,********,    1,   0.068
SP90      ,S10       ,   0,  0.0004,  0.7399,********,    2,   0.135
SP90      ,S11       ,   0,  0.0004,  0.7399,********,    3,   0.203
SP90      ,S12       ,   0,  0.0004,  0.7399,********,    4,   0.270
SP90      ,S13       ,   0,  0.0004,  0.7399,********,    5,   0.338
SP90      ,S14       ,   0,  0.0004,  0.7399,********,    6,   0.406
SP90      ,S15       ,   0,  0.0004,  0.7399,********,    7,   0.473
SP90      ,S16       ,   0,  0.0004,  0.7399,********,    8,   0.541
SP90      ,S17       ,   0,  0.0004,  0.7399,********,    9,   0.608
SP90      ,S18       ,   0,  0.0004,  0.7399,********,   10,   0.676
SP90      ,S19       ,   0,  0.0004,  0.7399,********,   11,   0.743
SP90      ,S2        ,   0,  0.0004,  0.7399,********,   12,   0.811
SP90      ,S20       ,   0,  0.0004,  0.7399,********,   13,   0.879
SP90      ,S3        ,   0,  0.0004,  0.7399,********,   14,   0.946
SP90      ,S4        ,   0,  0.0004,  0.7399,********,   15,   1.014
SP90      ,S5        ,   0,  0.0004,  0.7399,********,   16,   1.081
SP90      ,S6        ,   0,  0.0004,  0.7399,********,   17,   1.149
SP90      ,S7        ,   0,  0.0004,  0.7399,********,   18,   1.217
SP90      ,S8        ,   0,  0.0004,  0.7399,********,   19,   1.284
SP90      ,S9        ,   0,  0.0004,  0.7399,********,   20,   1.352
SP91      ,S1        ,   0,  0.0002,  0.7399,********,    1,   0.068
SP91      ,S10       ,   0,  0.0002,  0.7399,********,    2,   0.135
SP91      ,S11       ,   0,  0.0002,  0.7399,********,    3,   0.203
SP91      ,S12       ,   0,  0.0002,  0.7399,********,    4,   0.270
SP91      ,S13       ,   0,  0.0002,  0.7399,********,    5,   0.338
SP91      ,S14       ,   0,  0.0002,  0.7399,********,    6,   0.406
SP91      ,S15       ,   0,  0.0002,  0.7399,********,    7,   0.473
SP91      ,S16       ,   0,  0.0002,  0.7399,********,    8,   0.541
SP91      ,S17       ,   0,  0.0002,  0.7399,********,    9,   0.608
SP91      ,S18       ,   0,  0.0002,  0.7399,********,   10,   0.676
SP91      ,S19       ,   0,  0.0002,  0.7399,********,   11,   0.743
SP91      ,S2        ,   0,  0.0002,  0.7399,********,   12,   0.811
SP91      ,S20       ,   0,  0.0002,  0.7399,********,   13,   0.879
SP91      ,S3        ,   0,  0.0002,  0.7399,********,   14,   0.946
SP91      ,S4        ,   0,  0.0002,  0.7399,********,   15,   1.014
SP91      ,S5        ,   0,  0.0002,  0.7399,********,   16,   1.081
SP91      ,S6        ,   0,  0.0002,  0.7399,********,   17,   1.149
SP91      ,S7        ,   0,  0.0002,  0.7399,********,   18,   1.217
SP91      ,S8        ,   0,  0.0002,  0.7399,********,   19,   1.284
SP91      ,S9        ,   0,  0.0002,  0.7399,********,   20,   1.352
SU60      ,S1        ,   0,  0.0004,  0.7399,********,    1,   0.068
SU60      ,S10       ,   0,  0.0004,  0.7399,********,    2,   0.135
SU60      ,S11       ,   0,  0.0004,  0.7399,********,    3,   0.203
SU60      ,S12       ,   0,  0.0004,  0.7399,********,    4,   0.270
SU60      ,S13       ,   0,  0.0004,  0.7399,********,    5,   0.338
SU60      ,S14       ,   0,  0.0004,  0.7399,********,    6,   0.406
SU60      ,S15       ,   0,  0.0004,  0.7399,********,    7,   0.473
SU60      ,S16       ,   0,  0.0004,  0.7399,********,    8,   0.541
SU60      ,S17       ,   0,  0.0004,  0.7399,********,    9,   0.608
SU60      ,S18       ,   0,  0.0004,  0.7399,********,   10,   0.676
SU60      ,S19       ,   0,  0.0004,  0.7399,********,   11,   0.743
SU60      ,S2        ,   0,  0.0004,  0.7399,********,   12,   0.811
SU60      ,S20       ,   0,  0.0004,  0.7399,********,   13,   0.879
SU60      ,S3        ,   0,  0.0004,  0.7399,********,   14,   0.946
SU60      ,S4        ,   0,  0.0004,  0.7399,********,   15,   1.014
