"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","Z_VAL","SIG_95"
"S1","Species 1",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S2","Species 10",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S3","Species 11",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S4","Species 12",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S5","Species 13",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S6","Species 14",-0.0576785714285703,119.087285714283,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984,2012,-0.38255580317197,FALSE
"S7","Species 15",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S8","Species 16",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S9","Species 17",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S10","Species 18",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S11","Species 19",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S12","Species 2",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S13","Species 20",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S14","Species 3",-0.0576785714285703,119.087285714283,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984,2012,-0.38255580317197,FALSE
"S15","Species 4",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S16","Species 5",-0.0576785714285703,119.087285714283,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984,2012,-0.38255580317197,FALSE
"S17","Species 6",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S18","Species 7",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S19","Species 8",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
"S20","Species 9",4.48597845338213e-17,4.65299999999991,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1984,2012,0,FALSE
