"Location","Species","Pres","Freq","Freq1","SDFrq1","Rank","Rank1"
"SP90","Species 1",0,4e-04,0.7399,NA,1,0.068
"SP90","Species 18",0,4e-04,0.7399,NA,2,0.135
"SP90","Species 19",0,4e-04,0.7399,NA,3,0.203
"SP90","Species 2",0,4e-04,0.7399,NA,4,0.27
"SP90","Species 20",0,4e-04,0.7399,NA,5,0.338
"SP90","Species 3",0,4e-04,0.7399,NA,6,0.406
"SP90","Species 4",0,4e-04,0.7399,NA,7,0.473
"SP90","Species 5",0,4e-04,0.7399,NA,8,0.541
"SP90","Species 6",0,4e-04,0.7399,NA,9,0.608
"SP90","Species 7",0,4e-04,0.7399,NA,10,0.676
"SP90","Species 8",0,4e-04,0.7399,NA,11,0.743
"SP90","Species 10",0,4e-04,0.7399,NA,12,0.811
"SP90","Species 9",0,4e-04,0.7399,NA,13,0.879
"SP90","Species 11",0,4e-04,0.7399,NA,14,0.946
"SP90","Species 12",0,4e-04,0.7399,NA,15,1.014
"SP90","Species 13",0,4e-04,0.7399,NA,16,1.081
"SP90","Species 14",0,4e-04,0.7399,NA,17,1.149
"SP90","Species 15",0,4e-04,0.7399,NA,18,1.217
"SP90","Species 16",0,4e-04,0.7399,NA,19,1.284
"SP90","Species 17",0,4e-04,0.7399,NA,20,1.352
"SP91","Species 1",0,2e-04,0.7399,NA,1,0.068
"SP91","Species 18",0,2e-04,0.7399,NA,2,0.135
"SP91","Species 19",0,2e-04,0.7399,NA,3,0.203
"SP91","Species 2",0,2e-04,0.7399,NA,4,0.27
"SP91","Species 20",0,2e-04,0.7399,NA,5,0.338
"SP91","Species 3",0,2e-04,0.7399,NA,6,0.406
"SP91","Species 4",0,2e-04,0.7399,NA,7,0.473
"SP91","Species 5",0,2e-04,0.7399,NA,8,0.541
"SP91","Species 6",0,2e-04,0.7399,NA,9,0.608
"SP91","Species 7",0,2e-04,0.7399,NA,10,0.676
"SP91","Species 8",0,2e-04,0.7399,NA,11,0.743
"SP91","Species 10",0,2e-04,0.7399,NA,12,0.811
"SP91","Species 9",0,2e-04,0.7399,NA,13,0.879
"SP91","Species 11",0,2e-04,0.7399,NA,14,0.946
"SP91","Species 12",0,2e-04,0.7399,NA,15,1.014
"SP91","Species 13",0,2e-04,0.7399,NA,16,1.081
"SP91","Species 14",0,2e-04,0.7399,NA,17,1.149
"SP91","Species 15",0,2e-04,0.7399,NA,18,1.217
"SP91","Species 16",0,2e-04,0.7399,NA,19,1.284
"SP91","Species 17",0,2e-04,0.7399,NA,20,1.352
"SU60","Species 1",0,4e-04,0.7399,NA,1,0.068
"SU60","Species 18",0,4e-04,0.7399,NA,2,0.135
"SU60","Species 19",0,4e-04,0.7399,NA,3,0.203
"SU60","Species 2",0,4e-04,0.7399,NA,4,0.27
"SU60","Species 20",0,4e-04,0.7399,NA,5,0.338
"SU60","Species 3",0,4e-04,0.7399,NA,6,0.406
"SU60","Species 4",0,4e-04,0.7399,NA,7,0.473
"SU60","Species 5",0,4e-04,0.7399,NA,8,0.541
"SU60","Species 6",0,4e-04,0.7399,NA,9,0.608
"SU60","Species 7",0,4e-04,0.7399,NA,10,0.676
"SU60","Species 8",0,4e-04,0.7399,NA,11,0.743
"SU60","Species 10",0,4e-04,0.7399,NA,12,0.811
"SU60","Species 9",0,4e-04,0.7399,NA,13,0.879
